"filename", "language", "CMake", "Markdown", "C", "CSV", "C++", "YAML", "comment", "blank", "total"
"/Users/binhpham/workspace/livekit-edge-cv/edge-embedded-client/CMakeLists.txt", "CMake", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/binhpham/workspace/livekit-edge-cv/edge-embedded-client/README.md", "Markdown", 0, 74, 0, 0, 0, 0, 0, 32, 106
"/Users/binhpham/workspace/livekit-edge-cv/edge-embedded-client/main/CMakeLists.txt", "CMake", 2, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/binhpham/workspace/livekit-edge-cv/edge-embedded-client/main/idf_component.yml", "YAML", 0, 0, 0, 0, 0, 14, 1, 1, 16
"/Users/binhpham/workspace/livekit-edge-cv/edge-embedded-client/main/livekit_client.c", "C", 0, 0, 147, 0, 0, 0, 27, 21, 195
"/Users/binhpham/workspace/livekit-edge-cv/edge-embedded-client/main/livekit_client.h", "C++", 0, 0, 0, 0, 10, 0, 18, 6, 34
"/Users/binhpham/workspace/livekit-edge-cv/edge-embedded-client/main/main.c", "C", 0, 0, 18, 0, 0, 0, 6, 7, 31
"/Users/binhpham/workspace/livekit-edge-cv/edge-embedded-client/main/media.c", "C", 0, 0, 135, 0, 0, 0, 21, 23, 179
"/Users/binhpham/workspace/livekit-edge-cv/edge-embedded-client/main/media.h", "C++", 0, 0, 0, 0, 10, 0, 21, 7, 38
"/Users/binhpham/workspace/livekit-edge-cv/edge-embedded-client/partitions.csv", "CSV", 0, 0, 0, 5, 0, 0, 0, 1, 6
"Total", "-", 8, 74, 300, 5, 20, 14, 94, 100, 615
